año,genero,cantidad
1874-01-01,Documentary,1
1874-01-01,Short,1
1880-01-01,Short,1
1887-01-01,Short,1
1888-01-01,Documentary,3
1888-01-01,Short,5
1889-01-01,Documentary,1
1889-01-01,Drama,1
1889-01-01,Short,1
1890-01-01,Documentary,1
1890-01-01,Short,1
1891-01-01,Action,1
1891-01-01,Comedy,1
1891-01-01,Documentary,2
1891-01-01,Drama,1
1891-01-01,Romance,1
1891-01-01,Short,7
1891-01-01,Sport,1
1892-01-01,Animation,4
1892-01-01,Comedy,1
1892-01-01,Documentary,3
1892-01-01,Drama,1
1892-01-01,Family,1
1892-01-01,Romance,3
1892-01-01,Short,9
1892-01-01,Sport,4
1893-01-01,Short,2
1894-01-01,Action,4
1894-01-01,Adult,2
1894-01-01,Adventure,1
1894-01-01,Animation,2
1894-01-01,Biography,5
1894-01-01,Comedy,6
1894-01-01,Crime,1
1894-01-01,Documentary,27
1894-01-01,Drama,6
1894-01-01,Family,3
1894-01-01,Fantasy,2
1894-01-01,Game-Show,2
1894-01-01,History,1
1894-01-01,Horror,1
1894-01-01,Music,2
1894-01-01,Musical,2
1894-01-01,Mystery,1
1894-01-01,News,1
1894-01-01,Reality-TV,2
1894-01-01,Romance,4
1894-01-01,Sci-Fi,1
1894-01-01,Short,83
1894-01-01,Sport,9
1894-01-01,Talk-Show,1
1894-01-01,Thriller,1
1894-01-01,War,1
1894-01-01,Western,4
1895-01-01,Action,3
1895-01-01,Adult,2
1895-01-01,Adventure,3
1895-01-01,Animation,5
1895-01-01,Biography,3
1895-01-01,Comedy,11
1895-01-01,Crime,4
1895-01-01,Documentary,31
1895-01-01,Drama,7
1895-01-01,Family,3
1895-01-01,Fantasy,4
1895-01-01,Game-Show,1
1895-01-01,History,3
1895-01-01,Horror,3
1895-01-01,Music,3
1895-01-01,Musical,3
1895-01-01,Mystery,3
1895-01-01,News,4
1895-01-01,Reality-TV,1
1895-01-01,Romance,4
1895-01-01,Sci-Fi,2
1895-01-01,Short,69
1895-01-01,Sport,5
1895-01-01,Talk-Show,1
1895-01-01,Thriller,4
1895-01-01,War,3
1895-01-01,Western,1
1896-01-01,Action,18
1896-01-01,Adult,10
1896-01-01,Adventure,15
1896-01-01,Animation,19
1896-01-01,Biography,11
1896-01-01,Comedy,67
1896-01-01,Crime,15
1896-01-01,Documentary,253
1896-01-01,Drama,42
1896-01-01,Family,17
1896-01-01,Fantasy,18
1896-01-01,Game-Show,5
1896-01-01,History,12
1896-01-01,Horror,12
1896-01-01,Music,16
1896-01-01,Musical,15
1896-01-01,Mystery,11
1896-01-01,News,13
1896-01-01,Reality-TV,7
1896-01-01,Romance,19
1896-01-01,Sci-Fi,10
1896-01-01,Short,413
1896-01-01,Sport,17
1896-01-01,Talk-Show,8
1896-01-01,Thriller,15
1896-01-01,War,8
1896-01-01,Western,3
1897-01-01,Action,20
1897-01-01,Adult,16
1897-01-01,Adventure,17
1897-01-01,Animation,27
1897-01-01,Biography,8
1897-01-01,Comedy,87
1897-01-01,Crime,26
1897-01-01,Documentary,146
1897-01-01,Drama,69
1897-01-01,Family,26
1897-01-01,Fantasy,22
1897-01-01,Game-Show,3
1897-01-01,History,12
1897-01-01,Horror,22
1897-01-01,Music,17
1897-01-01,Musical,13
1897-01-01,Mystery,18
1897-01-01,News,23
1897-01-01,Reality-TV,6
1897-01-01,Romance,27
1897-01-01,Sci-Fi,10
1897-01-01,Short,330
1897-01-01,Sport,19
1897-01-01,Talk-Show,5
1897-01-01,Thriller,24
1897-01-01,War,15
1897-01-01,Western,6
1898-01-01,Action,25
1898-01-01,Adult,11
1898-01-01,Adventure,19
1898-01-01,Animation,32
1898-01-01,Biography,10
1898-01-01,Comedy,86
1898-01-01,Crime,24
1898-01-01,Documentary,130
1898-01-01,Drama,78
